username,mean_rating,std_dev_rating,min_rating,max_rating,game_count
063401905,2179.090909090909,11.562478501208446,2163,2198,11
0ptimist,2317.0,,2317,2317,1
123dragan123,2481.6875,25.265836617852262,2434,2517,16
123goodknight,2323.4,4.159326868617099,2319,2329,5
123oblivion1231,2206.3,10.252912865240875,2190,2223,10
123ttt,2325.0263157894738,42.98616172180607,2229,2383,38
190l,2199.3333333333335,20.47035566356667,2163,2233,48
1c4_1-0,2300.6363636363635,26.31833097775294,2265,2342,11
2008king,2374.0,,2374,2374,1
25elevinTwitch,2191.9615384615386,19.645825549934244,2161,2225,26
2Ke21-0,2352.487804878049,26.711534915855307,2290,2394,41
2Ke2_TH30RYz,2182.8,15.706686474237685,2164,2204,5
2Pawnsup,2206.0,,2206,2206,1
2good4u734,2234.216,40.854301309456524,2166,2321,125
2plyperhour,2226.0,,2226,2226,1
3141516,2168.1666666666665,6.27428614797475,2160,2178,6
335394862,2439.051282051282,39.10845158217314,2366,2507,39
35Rai35,2181.0,,2181,2181,1
777_J_O_K_E_R_777,2243.0,8.48528137423857,2237,2249,2
8x8Sn00,2256.875,58.793676773709485,2163,2332,8
908divik,2166.0,,2166,2166,1
ABC5678,2160.0,,2160,2160,1
ACPLTracker,2217.0,,2217,2217,1
AGM_VladimirKim,2233.0,,2233,2233,1
A_cceleratoR,2302.5,4.949747468305833,2299,2306,2
AaronGT24,2279.0,,2279,2279,1
AayushPoojaa,2197.391304347826,18.411308605989515,2163,2228,23
Abbas_A,2171.0,5.656854249492381,2167,2175,2
Abdodi,2327.0185185185187,40.73093418587233,2259,2423,108
Adam_Kujawski,2291.5,5.5677643628300215,2284,2297,4
Adichess24,2176.5,7.7781745930520225,2171,2182,2
AgentBear007,2169.0,,2169,2169,1
Alahambra123,2214.5,19.433647796197878,2186,2229,4
Alekhya2007,2391.0,,2391,2391,1
AleksanderAlekhine94,2249.0,,2249,2249,1
Alex_MV,2160.0,,2160,2160,1
Alex_Rosario,2467.0,,2467,2467,1
AlexanderKing,2571.0,5.522680508593589,2565,2577,5
Alexking44,2224.5,4.949747468305833,2221,2228,2
Alexoleg5,2254.0,,2254,2254,1
Aliencowboy,2529.0,,2529,2529,1
Alireza22000,2201.0,,2201,2201,1
ArChEr95,2324.0,7.0710678118654755,2319,2329,2
Aramna,2209.0,,2209,2209,1
AriseSoldier,2286.0,6.164414002969026,2279,2294,4
ArthurDeJong,2180.0,,2180,2180,1
AryanAli1998,2371.0,,2371,2371,1
AsaHoffmann,2410.75,14.268263150549599,2396,2427,4
AxolotlJCmherrera,2181.5,5.066228051190222,2177,2188,4
AyyAnarchy,2233.0,,2233,2233,1
BGabor1224,2236.0,,2236,2236,1
BabyNepomniachtchi,2298.0,,2298,2298,1
BackRankTank,2341.5,6.363961030678928,2337,2346,2
Bacyanide,2379.0,,2379,2379,1
Bednixo,2191.0,1.4142135623730951,2190,2192,2
Bernie-GB,2177.0,18.193405398660254,2166,2198,3
Bezerker19,2792.0,17.0,2775,2809,3
Biculi,2217.0,,2217,2217,1
Bid0na,2168.0,,2168,2168,1
Bierblitz1a,2391.0,,2391,2391,1
Bikfoot,2190.0,5.656854249492381,2186,2194,2
BispodaAvareza,2232.0,,2232,2232,1
Blues4,2327.0,,2327,2327,1
Blunderfull711,2198.0,5.656854249492381,2194,2202,2
BobSacIt,2315.0,,2315,2315,1
Bobfishook,2173.0,,2173,2173,1
BojanR1,2267.5,101.1162697096763,2196,2339,2
Brutalis,2229.0,,2229,2229,1
Buenkaide,2329.0,,2329,2329,1
BuiHuyPhuoc,2398.0,4.242640687119285,2395,2401,2
BulletMercenary,2333.0,,2333,2333,1
C3BR,2199.0,,2199,2199,1
CMR58,2428.5,7.7781745930520225,2423,2434,2
Cachess05,2195.0,11.313708498984761,2187,2203,2
Caio_Buys,2601.6666666666665,5.5075705472860434,2596,2607,3
CallMeChristopher,2572.0,,2572,2572,1
Calparov01,2229.0,,2229,2229,1
CamaradaAntonov,2175.0,,2175,2175,1
Candillario123,2224.0,,2224,2224,1
Candler777,2248.0,,2248,2248,1
Canyank73,2180.0,,2180,2180,1
Capita66,2249.5,33.23401871576773,2226,2273,2
CeerraiasotegoirSP,2467.6666666666665,7.312090444371333,2456,2476,6
Cerati11,2225.0,,2225,2225,1
Charmehaar,2353.0,,2353,2353,1
ChasMcAlpine,2297.0,,2297,2297,1
CheeseBreadFuzzyHead,2282.0,60.35726965329032,2239,2351,3
Chess313313,2164.0,,2164,2164,1
ChessBrainiac13,2416.0,,2416,2416,1
ChessMentch,2215.0,12.727922061357855,2206,2224,2
Chess_Caio2007,2210.0,,2210,2210,1
Chessplayerfriends,2167.0,,2167,2167,1
ChokesitoJl,2244.0,,2244,2244,1
Chosroes,2283.0,29.101355447622826,2252,2352,10
ChristOurSavior,2381.0,,2381,2381,1
ChristReignsAsKing,2256.0,,2256,2256,1
Computer4-IMPOSSIBLE,2226.4,49.196544594107436,2166,2300,5
CrazyMadMax4,2249.5,17.67766952966369,2237,2262,2
Crimsonfalcon,2183.0,,2183,2183,1
CunningKingRSOldest2,2271.0,,2271,2271,1
DIMONBANAN,2259.0,,2259,2259,1
DKKoulin68,2209.5,4.949747468305833,2206,2213,2
DaVector,2234.0,8.48528137423857,2228,2240,2
Daenmaga19,2171.0,,2171,2171,1
Daniel_Blake,2193.0,,2193,2193,1
Danielespinossaa,2265.0,7.0710678118654755,2260,2270,2
DaniloTosic_pg17,2274.0,,2274,2274,1
DannyAmores,2195.0,,2195,2195,1
DannyTheBoy,2322.0,,2322,2322,1
Dark_Attack,2230.0,,2230,2230,1
Democrachess89,2513.0,,2513,2513,1
Dezard767,2208.0,,2208,2208,1
DinaBelenkaya,2435.0,,2435,2435,1
DisgustingSasquatch,2192.0,,2192,2192,1
Django66,2295.0,,2295,2295,1
DoMateClan,2311.0,,2311,2311,1
Dossymbek,2342.0,,2342,2342,1
DrDog123,2451.0,,2451,2451,1
DrFaust1,2160.0,,2160,2160,1
DrHyDe20,2348.0,,2348,2348,1
Dragon84,2317.0,,2317,2317,1
Dragonweave,2351.0,,2351,2351,1
Droozhba,2224.0,,2224,2224,1
Dubs123,2261.0,,2261,2261,1
EPiankov,2203.0,,2203,2203,1
ETTEHAD-37,2235.0,70.71067811865476,2185,2285,2
EasyMate69,2224.0,,2224,2224,1
ElPerrodelosPerros,2225.0,,2225,2225,1
Elmatador29,2377.0,,2377,2377,1
EndlessKnights,2218.0,,2218,2218,1
Enimol,2161.0,,2161,2161,1
EnricoGorgoglione,2336.0,,2336,2336,1
EricJ2005,2231.0,46.119410230400824,2178,2262,3
Euklides1971,2175.0,,2175,2175,1
Euthyphro399,2315.0,,2315,2315,1
EzequiasPereiraa,2324.0,,2324,2324,1
Fiona,2211.0,,2211,2211,1
Fiwel2,2273.3333333333335,63.01058112200949,2223,2344,3
ForbiddenOpening,2251.5,40.30508652763321,2223,2280,2
Fortitudine,2393.0,14.142135623730951,2383,2403,2
FortunateCamel,2190.846153846154,21.73647531165889,2162,2234,13
FoxyRoxy5488,2328.0,,2328,2328,1
FrequentFlier,2258.0,41.012193308819754,2229,2287,2
GILMART,2250.0,,2250,2250,1
GMgiaco182,2553.0,,2553,2553,1
GORT81,2351.0,,2351,2351,1
GeniusNickster,2306.3333333333335,58.07179464536412,2240,2348,3
Ghost_Pepper,2347.0,6.0553007081949835,2341,2355,4
Gmshazzadul2800,2249.0,7.0710678118654755,2244,2254,2
Goesenaar2,2255.0,,2255,2255,1
GomezDavid,2389.5,26.16295090390226,2371,2408,2
GopherLoaferChess,2301.0,,2301,2301,1
GrandTichuu,2341.0,,2341,2341,1
Guga1606,2308.5,4.949747468305833,2305,2312,2
Hein73,2287.0,,2287,2287,1
Heliotropador,2327.0,,2327,2327,1
Hikaru,3172.0,,3172,3172,1
Holosboerger,2264.5,2.1213203435596424,2263,2266,2
How_do_pieces_move,2235.0,,2235,2235,1
Hritik1999,2173.0,,2173,2173,1
HuguesMagnier,2221.0,,2221,2221,1
Hussien47,2349.0,,2349,2349,1
IEdrocha,2189.0,,2189,2189,1
IIIlllII,2357.0,,2357,2357,1
IMScalper,2429.0,,2429,2429,1
INT3RC3PTOR,2223.0,,2223,2223,1
ITENSE,2164.0,,2164,2164,1
I_am_a_Miracle,2271.0,,2271,2271,1
IgorKhmelnitsky,2432.0,,2432,2432,1
ImNinjaBear,2178.0,,2178,2178,1
ImTheGod666,2397.0,,2397,2397,1
InvocandoaFischer,2231.0,,2231,2231,1
IroniaSudby,2406.5,0.7071067811865476,2406,2407,2
Itay121,2286.0,,2286,2286,1
ItsWAWgaming,2443.0,,2443,2443,1
Iwillsacmyqueen,2208.0,,2208,2208,1
J-Conor,2191.0,,2191,2191,1
JFrade,2184.0,,2184,2184,1
JSlaby,2409.0,,2409,2409,1
Jacek-Jacek-2,2270.0,,2270,2270,1
JackRabbitz,2284.5,5.259911279353167,2280,2292,4
Janusz26,2462.0,,2462,2462,1
Jardy79,2223.0,,2223,2223,1
Jean-MarcBenoit-Desc,2370.0,,2370,2370,1
Jeffpk,2272.0,4.242640687119285,2269,2275,2
Jess_Campbell,2260.0,,2260,2260,1
Joelora,2343.5,4.949747468305833,2340,2347,2
JohanWassermann,2160.0,,2160,2160,1
Jorgemilicia,2471.0,,2471,2471,1
Juanjo83,2233.0,,2233,2233,1
KF3WIN,2282.0,9.16515138991168,2272,2290,3
KanalSzachowy,2288.0,,2288,2288,1
Kavalerik,2171.0,,2171,2171,1
Kcnock2004,2411.5,6.363961030678928,2407,2416,2
Keeyan21,2309.0,,2309,2309,1
Khachikyan-Hayko,2218.0,,2218,2218,1
Khibiny,2235.0,,2235,2235,1
KingOfTheRift,2439.0,,2439,2439,1
KitKat2007,2192.0,,2192,2192,1
Knetterbernd69,2239.0,,2239,2239,1
Komodo20,2333.0,,2333,2333,1
KomodoBoss,2550.6666666666665,152.23118384001785,2375,2644,3
Konjic2300,2361.0,,2361,2361,1
Kreisler1,2188.0,,2188,2188,1
LMS3005,2185.5,4.949747468305833,2182,2189,2
LangReborn,2159.0,,2159,2159,1
Lidsky_Alex,2488.0,,2488,2488,1
LightningChess21,2216.0,,2216,2216,1
LittleSmartLion,2515.75,86.33799858694903,2439,2592,4
Little_Shuffle,2396.0,,2396,2396,1
LiveAndLetDie,2254.2,17.340703561274516,2224,2267,5
LordLove,2360.0,,2360,2360,1
Lotthy,2310.0,,2310,2310,1
Louisounet85,2323.0,,2323,2323,1
Lovro05,2292.0,,2292,2292,1
LuckyLaomedeia,2195.0,,2195,2195,1
LuisCarrero,2247.0,,2247,2247,1
Luis_Rey,2283.0,,2283,2283,1
MIRFHC64,2320.5,7.7781745930520225,2315,2326,2
MRBigtimer,2312.0,,2312,2312,1
MS318,2174.0,,2174,2174,1
MVM2008,2235.0,,2235,2235,1
MacKari95,2173.0,,2173,2173,1
Magnificent_Micha,2173.0,,2173,2173,1
Magnus_0,2419.0,,2419,2419,1
Maidl25,2187.0,,2187,2187,1
MarcAlmond,2162.0,,2162,2162,1
Marticafierro,2192.6,39.9224247760579,2166,2263,5
MartyNeal,2180.0,8.18535277187245,2171,2187,3
MasterBabyYoda,2191.0,,2191,2191,1
MasterTuxo,2311.0,,2311,2311,1
MaxiNimzo,2322.5,6.363961030678928,2318,2327,2
MayCaesar,2263.0,,2263,2263,1
Meftovski,2278.0,,2278,2278,1
MeganOhta,2246.0,,2246,2246,1
Michu_02,2265.0,,2265,2265,1
MightyTurnip,2210.2,6.220932405998283,2203,2219,5
Mikejara98,2188.0,,2188,2188,1
Minitona,2317.0,7.0710678118654755,2312,2322,2
Mishin_Alexandr,2165.0,,2165,2165,1
MontecristoA,2344.5,6.363961030678928,2340,2349,2
Mootama3,2173.0,,2173,2173,1
Mors_Mordre,2293.0,,2293,2293,1
MrPetrov,2315.0,5.656854249492381,2311,2319,2
MrTeifel79,2321.0,,2321,2321,1
Multivitamin73,2550.0,,2550,2550,1
MyChessUnderground,2170.0,,2170,2170,1
NM_diasattack,2168.0,,2168,2168,1
NO-REGRET,2513.0,,2513,2513,1
NVRCRY,2217.0,,2217,2217,1
Neath19,2168.8,6.723094525588648,2160,2178,5
Nemsko,2459.0,,2459,2459,1
NetzMetdinov,2244.0,,2244,2244,1
Never_walk_alone,2482.0,5.656854249492381,2478,2486,2
Nicator65,2454.0,,2454,2454,1
Nick7708,2279.0,,2279,2279,1
NikolasTheiss,2451.0,,2451,2451,1
NoboaKevin1999,2410.0,,2410,2410,1
OX0SSI,2164.0,,2164,2164,1
Obietonye,2237.0,,2237,2237,1
Ocapi777,2195.0,,2195,2195,1
Offshorewind,2168.0,,2168,2168,1
OminousKingWalker,2628.6666666666665,39.57692930652058,2583,2653,3
OrigaML,2603.0,,2603,2603,1
Orrin4097,2189.0,,2189,2189,1
P0ubelle,2259.0,,2259,2259,1
P4LOWER5,2220.0,,2220,2220,1
PacerSimo,2180.5,14.849242404917497,2170,2191,2
Palinos,2227.0,,2227,2227,1
Paracelsus2014,2249.0,,2249,2249,1
Patoli8,2225.0,5.656854249492381,2221,2229,2
Pawel_Chess_Coach,2657.0,,2657,2657,1
Payumi72,2287.0,,2287,2287,1
Peppone97,2267.0,,2267,2267,1
Perez-Billinghurst,2235.6666666666665,5.131601439446821,2230,2240,3
Perimir,2446.0,,2446,2446,1
PersianSystem,2239.5,16.263455967290593,2228,2251,2
PhilippSeifert,2164.0,,2164,2164,1
Pirlo1,2227.0,,2227,2227,1
PowerofDolphin111200,2172.0,,2172,2172,1
Prestige_17355,2169.0,,2169,2169,1
ProFiev,2210.0,,2210,2210,1
QuesoDeJalisco,2287.5,13.435028842544403,2278,2297,2
QuetzalSpirit,2235.0,,2235,2235,1
Qui-GonGin,2199.0,,2199,2199,1
Qweert,2287.0,,2287,2287,1
RALRAL3333,2221.0,7.0,2214,2228,3
RETURNOFTHELAGGER,2306.0,,2306,2306,1
RahulJaisingh,2245.0,,2245,2245,1
ReinhardtNiegold,2207.0,5.656854249492381,2203,2211,2
RenVottero,2303.0,,2303,2303,1
Rhemmy,2302.0,,2302,2302,1
Rngtmn,2265.0,,2265,2265,1
Roadto2k3,2306.0,,2306,2306,1
RobertoJBM,2701.0,,2701,2701,1
Roman-II,2297.0,,2297,2297,1
RomashSternschubserr,2261.5,55.86143571373726,2222,2301,2
Rostkievua,2202.0,,2202,2202,1
Ryan_01,2215.0,14.42220510185597,2202,2242,6
Sacrifice101,2244.0,,2244,2244,1
Sadykov_Ramil,2550.0,,2550,2550,1
Saidov95,2583.0,,2583,2583,1
Same_Old_Jets,2307.0,,2307,2307,1
Sandokan_1,2356.5,24.748737341529164,2339,2374,2
Sanju_1996d,2454.0,19.79898987322333,2440,2468,2
Sarafharry,2190.0,,2190,2190,1
Sarvesh1434,2168.0,,2168,2168,1
SatanicChess666,2306.5,6.363961030678928,2302,2311,2
SavelievD,2328.5,4.949747468305833,2325,2332,2
SavvyMiq,2167.0,,2167,2167,1
Sayonaraman,2313.0,,2313,2313,1
Scarface7,2277.0,,2277,2277,1
Semlin970,2322.0,7.0710678118654755,2317,2327,2
Sergei19870514,2284.0,,2284,2284,1
SetareBaghere,2222.0,,2222,2222,1
Setdar_Hojiev,2208.0,,2208,2208,1
Shinya_Kojima,2385.0,,2385,2385,1
SixthCause,2216.5,16.263455967290593,2205,2228,2
SkaterChik,2238.0,,2238,2238,1
SkippyKangaroo,2202.0,,2202,2202,1
Skywater20,2278.0,,2278,2278,1
SnakesUK,2189.0,,2189,2189,1
Snowbore,2171.0,,2171,2171,1
SoreLeopard,2207.0,,2207,2207,1
SoulStudent,2293.0,,2293,2293,1
Squarelogy,2248.0,,2248,2248,1
StefanAhtarovski,2264.25,43.77499286122158,2199,2292,4
StevenInDenvee,2344.0,,2344,2344,1
Stevew90,2208.0,,2208,2208,1
Swarnapuri,2409.0,,2409,2409,1
Swifties13DR,2226.0,,2226,2226,1
